Iteration 1: Critical: 1, Major: 4, Minor: 14 (8m 16s) (Review: 1m 55s, Check: 2m 22s, Apply: 3m 58s)
Iteration 2: Critical: 0, Major: 0, Minor: 0 (7m 16s) (Review: 1m 27s, Check: 1m 59s, Apply: 3m 49s)
Iteration 4: Critical: 0, Major: 2, Minor: 8 (7m 19s) (Review: 1m 40s, Check: 2m 11s, Apply: 3m 27s)
Iteration 5: Critical: 1, Major: 4, Minor: 12 (11m 54s) (Review: 2m 00s, Check: 2m 07s, Apply: 7m 46s)
Iteration 6: Critical: 0, Major: 3, Minor: 11 (30m 13s) (Review: 19m 09s, Check: 2m 49s, Apply: 8m 14s)
Iteration 7: Critical: 0, Major: 2, Minor: 12 (8m 37s) (Review: 1m 38s, Check: 2m 38s, Apply: 4m 19s)
Iteration 8: Critical: 2, Major: 8, Minor: 9 (11m 17s) (Review: 2m 41s, Check: 2m 43s, Apply: 5m 53s)
Iteration 9: Critical: 0, Major: 0, Minor: 0 (10m 07s) (Review: 2m 19s, Check: 2m 47s, Apply: 4m 59s)
Iteration 10: Critical: 0, Major: 0, Minor: 0 (10m 45s) (Review: 2m 04s, Check: 2m 24s, Apply: 6m 17s)
Iteration 11: Critical: 1, Major: 4, Minor: 13 (10m 51s) (Review: 1m 52s, Check: 2m 59s, Apply: 5m 59s)
Iteration 12: Critical: 0, Major: 0, Minor: 0 (14m 14s) (Review: 2m 00s, Check: 3m 30s, Apply: 8m 43s)
